1,Russian Salad(veg),143,available,veg,Mix of cooked vegetables dressed with mayonnaise sauce
2,Caesar Salad(veg),162,available,veg,Mixed lettuce salad with crotons served with mustardy garlic mayo
3,Greek Salad(veg),162,available,veg,A cool crunchy salad with fresh iceberg lettuce, bell peppers, sliced pineapple & cucumber. Tangy vinegarette dressing served seperately
4,Pasta Salad(Non-Veg),196,available,non veg,Mixed pasta and chicken in creamy, tangy dressing
5,Caesar Salad(Non-Veg),196,available,non veg,Mixed lettuce salad with crotons & chicken, serve with mustardy garlic mayo
